symbol,name,open,high,low,close,volume,strike,category,exchange_id
PETRD439,"PETROBRAS PN, R$ 42.94, 17-04-2025",0.0,0.0,0.0,0.87,0,42.94,CALL,BOVESPA
PETRP439,"PETROBRAS PN, R$ 42.94, 17-04-2025",0.0,0.0,0.0,3.06,0,42.94,PUT,BOVESPA
PETRD444,"PETROBRAS PN, R$ 43.44, 17-04-2025",0.0,0.0,0.0,1.3,0,43.44,CALL,BOVESPA
PETRP444,"PETROBRAS PN, R$ 43.44, 17-04-2025",0.0,0.0,0.0,0.0,0,43.44,PUT,BOVESPA
PETRD448,"PETROBRAS PN, R$ 43.94, 17-04-2025",0.0,0.0,0.0,0.58,0,43.94,CALL,BOVESPA
PETRP448,"PETROBRAS PN, R$ 43.94, 17-04-2025",0.0,0.0,0.0,0.0,0,43.94,PUT,BOVESPA
PETRD454,"PETROBRAS PN, R$ 44.44, 17-04-2025",0.0,0.0,0.0,1.07,0,44.44,CALL,BOVESPA
PETRP454,"PETROBRAS PN, R$ 44.44, 17-04-2025",0.0,0.0,0.0,0.0,0,44.44,PUT,BOVESPA
PETRD49,"PETROBRAS PN, R$ 44.94, 17-04-2025",0.0,0.0,0.0,0.5,0,44.94,CALL,BOVESPA
PETRP49,"PETROBRAS PN, R$ 44.94, 17-04-2025",0.0,0.0,0.0,7.01,0,44.94,PUT,BOVESPA
PETRD464,"PETROBRAS PN, R$ 45.44, 17-04-2025",0.0,0.0,0.0,0.79,0,45.44,CALL,BOVESPA
PETRP464,"PETROBRAS PN, R$ 45.44, 17-04-2025",0.0,0.0,0.0,0.0,0,45.44,PUT,BOVESPA
PETRD505,"PETROBRAS PN, R$ 45.69, 17-04-2025",0.0,0.0,0.0,0.94,0,45.69,CALL,BOVESPA
PETRP505,"PETROBRAS PN, R$ 45.69, 17-04-2025",0.0,0.0,0.0,7.5,0,45.69,PUT,BOVESPA
PETRD469,"PETROBRAS PN, R$ 45.94, 17-04-2025",0.0,0.0,0.0,0.43,0,45.94,CALL,BOVESPA
PETRP469,"PETROBRAS PN, R$ 45.94, 17-04-2025",0.0,0.0,0.0,0.0,0,45.94,PUT,BOVESPA
PETRD474,"PETROBRAS PN, R$ 46.44, 17-04-2025",0.0,0.0,0.0,0.65,0,46.44,CALL,BOVESPA
PETRP474,"PETROBRAS PN, R$ 46.44, 17-04-2025",0.0,0.0,0.0,0.0,0,46.44,PUT,BOVESPA
PETRD479,"PETROBRAS PN, R$ 46.94, 17-04-2025",0.0,0.0,0.0,0.72,0,46.94,CALL,BOVESPA
PETRP479,"PETROBRAS PN, R$ 46.94, 17-04-2025",0.0,0.0,0.0,0.0,0,46.94,PUT,BOVESPA
PETRD484,"PETROBRAS PN, R$ 47.44, 17-04-2025",0.0,0.0,0.0,0.0,0,47.44,CALL,BOVESPA
PETRP484,"PETROBRAS PN, R$ 47.44, 17-04-2025",0.0,0.0,0.0,0.0,0,47.44,PUT,BOVESPA
PETRD489,"PETROBRAS PN, R$ 47.94, 17-04-2025",0.4,0.4,0.23,0.23,20000,47.94,CALL,BOVESPA
PETRP489,"PETROBRAS PN, R$ 47.94, 17-04-2025",0.0,0.0,0.0,0.0,0,47.94,PUT,BOVESPA
PETRE224,"PETROBRAS PN, R$ 13.52, 16-05-2025",0.0,0.0,0.0,24.9,0,13.52,CALL,BOVESPA
PETRQ224,"PETROBRAS PN, R$ 13.52, 16-05-2025",0.0,0.0,0.0,0.01,0,13.52,PUT,BOVESPA
PETRE419,"PETROBRAS PN, R$ 40.02, 16-05-2025",3.0,3.0,3.0,3.0,100,40.02,CALL,BOVESPA
PETRQ419,"PETROBRAS PN, R$ 40.02, 16-05-2025",0.0,0.0,0.0,3.62,0,40.02,PUT,BOVESPA
